STUDENT,CLASS,PERIOD
 328,313A,  7
 328,501G,  3
 328,502A,  1
 330,301E,  7
 330,302A,  3
 330,303E,  1
 330,304F,  5
 330,505B,  2
 330,506G,  4
 330,507E,  6
 332,301E,  7
 332,302F,  5
 332,303B,  6
 332,304B,  3
 332,313B,  2
 332,501B,  4
 332,502A,  1
 334,301D,  2
 334,302B,  7
 334,303A,  3
 334,304C,  6
 334,505F,  5
 334,506B,  1
 334,507G,  4
 336,301B,  3
 336,302B,  7
 336,303D,  4
 336,304C,  6
 336,313B,  2
 336,501C,  1
 336,502B,  5
 338,301E,  7
 338,302A,  3
 338,303C,  2
 338,304F,  5
 338,505D,  6
 338,506G,  4
 338,507B,  1
 340,301G,  4
 340,302F,  5
 340,303B,  6
 340,304E,  1
 340,313A,  7
 340,501G,  3
 340,502E,  2
 342,301A,  6
 342,302D,  1
 342,303C,  2
 342,304D,  4
 342,505G,  3
 342,506F,  7
 342,507A,  5
 344,301D,  2
 344,302C,  6
 344,303E,  1
 344,304D,  4
 344,313A,  7
 344,501G,  3
 344,502B,  5
 346,301B,  3
 346,302C,  6
 346,303E,  1
 346,304D,  4
 346,505E,  7
 346,506D,  2
 346,507A,  5
 348,301B,  3
 348,302F,  5
 348,303D,  4
 348,304G,  2
 348,313A,  7
 348,501A,  6
 348,502A,  1
 350,301A,  6
 350,302B,  7
 350,303D,  4
 350,304E,  1
 350,505F,  5
 350,506C,  3
 350,507D,  2
 352,301G,  4
 352,302C,  6
 352,303A,  3
 352,304A,  7
 352,313B,  2
 352,501C,  1
 352,502B,  5
 354,301G,  4
 354,302B,  7
 354,303G,  5
 354,304C,  6
 354,505B,  2
 354,506B,  1
 354,507F,  3
 356,301E,  7
 356,302C,  6
 356,303G,  5
 356,304E,  1
 356,313B,  2
 356,501B,  4
 356,502C,  3
 358,301F,  1
 358,302G,  4
 358,303F,  7
 358,304G,  2
 358,505D,  6
 358,506C,  3
 358,507A,  5
 360,301A,  6
 360,302E,  2
 360,303E,  1
 360,304F,  5
 360,313A,  7
 360,501B,  4
 360,502C,  3
 362,301D,  2
 362,302G,  4
 362,303E,  1
 362,304B,  3
 362,505F,  5
 362,506F,  7
 362,507E,  6
 364,301B,  3
 364,302C,  6
 364,303G,  5
 364,304G,  2
 364,313A,  7
 364,501C,  1
 364,502G,  4
